Player,Age_Start,Age_End,Avg_PA,Seasons_Num,G,AB,R,H,1B,2B,3B,HR,RBI,XBH,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,Total_WAR,Avg_WAR,Last_3_WAR,BA,OBP,SLG,OPS,All_Stars,GGs,SSs,Bat_Titles,MVPs,WS_MVP,Pos,1_seasons,2_seasons,3_seasons,4_seasons,status
Dwayne Murphy,23,34,437,12,1360,4347,648,1069,744,139,20,166,609.0,325,100.0,61.0,747,953.0,1746,92.0,19.0,84.0,45.0,39.0,33.3,2.8,2.9,0.246,0.416,0.402,0.818,0,6,0,0,0,0,8,6,0,6,0,retired
Dwight Evans,20,39,528,20,2606,8996,1470,2446,1505,483,73,385,1384.0,941,78.0,59.0,1391,1697.0,4230,227.0,53.0,52.0,77.0,60.0,67.2,3.4,4.5,0.272,0.426,0.47,0.896,3,7,2,0,0,0,9,12,2,6,0,retired
Eddie Mathews,20,36,594,17,2391,8537,1509,2315,1377,354,72,512,1453.0,938,68.0,39.0,1444,1487.0,4349,123.0,26.0,36.0,58.0,142.0,96.2,5.7,4.7,0.271,0.439,0.509,0.948,0,0,0,0,0,0,5,17,0,0,0,hof
Eddie Murray,21,39,640,18,2711,10170,1488,2961,1955,511,33,462,1744.0,1006,97.0,39.0,1226,1350.0,4924,278.0,18.0,2.0,112.0,210.0,70.0,3.9,5.1,0.291,0.408,0.484,0.892,6,3,3,0,0,0,3,11,3,4,0,hof
Edgar Martínez,24,40,505,16,1900,6695,1174,2110,1311,487,15,297,1193.0,799,48.0,30.0,1221,1088.0,3518,175.0,87.0,9.0,73.0,103.0,69.0,4.3,10.7,0.315,0.499,0.525,1.024,0,0,5,0,0,0,10,11,5,0,0,hof
Edwin Encarnación,22,37,508,16,1960,7040,1099,1832,1028,370,10,424,1261.0,804,61.0,14.0,903,1426.0,3494,185.0,105.0,0.0,66.0,54.0,35.199999999999996,2.2,4.4,0.26,0.394,0.496,0.89,0,0,0,0,0,0,10,16,0,0,0,retired
Ellis Burks,22,39,454,18,2000,7232,1253,2107,1290,402,63,352,1206.0,817,181.0,84.0,793,1340.0,3691,171.0,60.0,29.0,62.0,33.0,49.699999999999996,2.8,4.4,0.291,0.403,0.51,0.913,1,1,2,0,0,0,8,16,2,0,0,retired
Elvis Andrus,20,34,574,15,2059,7772,1058,2091,1558,380,51,102,775.0,533,347.0,115.0,611,1206.0,2879,197.0,57.0,104.0,58.0,8.0,34.800000000000004,2.3,4.4,0.269,0.35,0.37,0.72,2,0,0,0,0,0,6,13,0,2,0,retired
Eric Chávez,20,36,366,17,1615,5518,816,1477,875,318,24,260,902.0,602,50.0,17.0,639,1079.0,2623,132.0,15.0,0.0,55.0,77.0,38.5,2.3,3.0,0.268,0.381,0.475,0.856,0,0,0,0,0,0,5,17,0,0,0,retired
Eric Davis,22,39,362,17,1626,5321,938,1430,883,239,26,282,934.0,547,349.0,66.0,740,1398.0,2567,112.0,33.0,3.0,50.0,59.0,36.300000000000004,2.1,1.2,0.269,0.408,0.482,0.89,2,3,2,0,0,0,8,14,2,1,0,retired
